Ingles,Español,Traduccion
Try it.,Pruébalo.,Pruébalo.
We try.,Lo procuramos.,Lo intentamos.
We won.,Ganamos.,Ganamos.
Why me?,¿Por qué yo?,¿Por qué yo?
Ask Tom.,Pregúntale a Tom.,Pregúntale a Tom.
Awesome!,¡Órale!,¡Increíble!
Be calm.,Mantente en calma.,Tranquilízate.
Be cool.,Estate tranquilo.,Tranquilo.
Be fair.,Sé justo.,Sé justo.
Be kind.,Sean gentiles.,Sé amable.
Be nice.,Sé agradable.,Sé amable.
Beat it.,Pírate.,Lárgate.
Call me.,Llamame.,Llámame.
Call me.,Llamadme.,Llámame.
Call me.,Llámame.,Llámame.
Call us.,Llámanos.,Llámanos.
Come in.,Entre.,Adelante.
Come in.,Pase.,Adelante.
Come in.,¡Entren!,Adelante.
Come on!,¡Órale!,¡Vamos!
Come on.,Ándale.,Vamos.
Come on.,¡Órale!,Vamos.
Drop it!,Suéltalo.,¡Suéltala!
Get Tom.,Agarra a Tom.,Trae a Tom.
Get out!,Bájate.,¡Fuera!
Get out.,Salte.,Fuera.
Get out.,Sal.,Fuera.
Get out.,Salí.,Fuera.
Get out.,Salid.,Fuera.
Get out.,Salgan.,Fuera.
Go away!,¡Vete de aquí!,¡Vete!
Go away!,¡Lárgate!,¡Vete!
Go away!,¡Salga de aquí!,¡Vete!
Go away!,¡Largo!,¡Vete!
Go away!,¡Vete ya!,¡Vete!
Go away!,¡Órale!,¡Vete!
Go away!,¡A la calle!,¡Vete!
Go away.,¡Vete de aquí!,Vete.
Go away.,¡Lárgate!,Vete.
Go away.,¡Largo!,Vete.
Go away.,¡Vete ya!,Vete.
Go away.,¡Órale!,Vete.
Go away.,Lárguese.,Vete.
Go away.,Váyase.,Vete.
Go home.,Vete a casa.,Vete a casa.
Go slow.,Vaya despacio.,Ve despacio.
Goodbye!,¡Hasta luego!,¡Adiós!
Goodbye!,Hasta la vista.,¡Adiós!
Goodbye!,¡Chau!,¡Adiós!
Hang on!,¡Espera!,¡Agárrate!
Hang on!,¡Espera un momento!,¡Agárrate!
Hang on!,¡Un segundo!,¡Agárrate!
Hang on.,Agarra fuertemente.,Espera.
He came.,Él vino.,Vino.
He quit.,Él renunció.,Renunció.
Help me!,Ayúdame.,¡Ayúdame!
Help me.,Ayúdame.,Ayúdame.
Help me.,Échame una mano.,Ayúdame.
Help me.,Ayudame.,Ayúdame.
Help us.,Ayúdanos.,Ayúdanos.
Hit Tom.,Golpea a Tom.,Dale a Tom.
Hold it!,Espera.,¡Alto!
Hold on.,Resista.,Espera.
Hold on.,Resiste.,Espera.
Hold on.,Agarra fuertemente.,Espera.
Hug Tom.,Abraza a Tom.,Abraza a Tom.
I agree.,Estoy de acuerdo.,Estoy de acuerdo.
I agree.,De acuerdo.,Estoy de acuerdo.
I bowed.,Me incliné.,Me incliné.
I moved.,Me he mudado.,Me mudé.
I moved.,Me mudé.,Me mudé.
I moved.,Me trasladé.,Me mudé.
I moved.,Me he trasladado.,Me mudé.
I slept.,Dormí.,Dormí.
I tried.,Lo intenté.,Lo intenté.
I'll go.,Iré.,Yo iré.
I'm Tom.,Soy Tom.,Soy Tom.
I'm fat.,Estoy gordo.,Estoy gorda.
I'm fat.,Soy gorda.,Estoy gorda.
I'm fit.,Estoy en forma.,Estoy en forma.
I'm hit!,Estoy afectado.,¡Me han dado!
I'm old.,Soy viejo.,Soy viejo.
I'm shy.,Soy tímido.,Soy tímido.
I'm wet.,Estoy mojada.,Estoy mojado.
It's OK.,Está bien.,Está bien.
It's me!,Soy yo.,¡Soy yo!
It's me.,Soy yo.,Soy yo.
Join us.,Únete a nosotros.,Únete a nosotros.
Join us.,Sé parte nuestra.,Únete a nosotros.
Keep it.,Guárdalo.,Quédatelo.
"Me, too.","Yo, también.",Yo también.
Open up.,Abre.,Abre.
Perfect!,¡Perfecto!,¡Perfecto!
See you.,Nos vemos.,Nos vemos.
Show me.,Muéstramelo.,Muéstrame.
Show me.,Enséñamelo.,Muéstrame.
Show me.,Mostrame.,Muéstrame.
Shut up!,¡Cierra la boca!,¡Cállate!
Shut up!,¡Cerrá el pico!,¡Cállate!
Skip it.,Sáltatelo.,Olvídalo.
So long.,Hasta la vista.,Adiós.
So long.,Hasta luego.,Adiós.
Stop it.,Páralo.,Basta.
Stop it.,Deténlo.,Basta.
Take it.,Cógelo.,Tómalo.
Tell me.,Decime.,Dime.
Tom ate.,Tom comió.,Tom comió.
Tom ran.,Tom corrió.,Tom corrió.
Tom won.,Tom ganó.,Tom ganó.
Wait up.,Espérame despierto.,Espera.
Wake up!,¡Despierta!,¡Despierta!
Wake up!,¡Despiértate!,¡Despierta!
Wake up!,¡Despertate!,¡Despierta!
Wake up.,Despierta.,Despierta.
Wash up.,Lávate las manos.,Lávate.
We care.,Nos preocupamos.,Nos importa.
We know.,Lo sabemos.,Lo sabemos.
We lost.,Perdimos.,Perdimos.
Welcome.,Bienvenidos.,Bienvenido.
Welcome.,Bienvenidas.,Bienvenido.
Who ate?,¿Quién comió?,¿Quién comió?
Who ran?,¿Quién corría?,¿Quién huyó?
Who ran?,¿Quién corrió?,¿Quién huyó?
Who won?,¿Quién ganó?,¿Quién ganó?
Who won?,¿Quién ha ganado?,¿Quién ganó?
Why not?,¿Por qué no?,¿Por qué no?
You run.,Corre.,Corre.
You won.,Has ganado.,Ganaste.
Am I fat?,¿Estoy gordo?,¿Estoy gorda?
Ask them.,Preguntales.,Pregúntales.
Ask them.,Pregúntales.,Pregúntales.
Back off!,Aparta.,¡Atrás!
Back off.,Apártate.,Retrocede.
Be a man.,Sé un hombre.,Sé un hombre.
Be brave.,Sé fuerte.,Sé valiente.
Be brief.,Sé breve.,Sé breve.
Be brief.,Sea breve.,Sé breve.
Be brief.,Sean breves.,Sé breve.
Be quiet.,Estate quieto.,Cállate.
Be still.,No te muevas.,Quédate quieto.
Call Tom.,¡Llamalo a Tomás!,Llama a Tom.
Call Tom.,¡Llámalo a Tomás!,Llama a Tom.
Call Tom.,¡Llámenlo a Tomás!,Llama a Tom.
Cheer up!,Anímate.,¡Anímate!
Cheer up.,Venga.,Anímate.
Cool off!,¡Cálmate!,¡Cálmate!
Cuff him.,Espósale.,Espósenlo.
Don't go.,No te vayas.,No te vayas.
Drive on.,Continúa.,Conduce.
Find Tom.,Encontralo a Tomás.,Encuentra a Tom.
Find Tom.,Encuéntralo a Tomás.,Encuentra a Tom.
Find Tom.,Encuéntrelo a Tomás.,Encuentra a Tom.
Find Tom.,Encuéntrenlo a Tomás.,Encuentra a Tom.
Find Tom.,Encuentre a Tom.,Encuentra a Tom.
Find Tom.,Encuentren a Tom.,Encuentra a Tom.
Fix this.,Arregla esto.,Arregla esto.
Get away!,¡Vete de aquí!,¡Aléjate!
Get away!,¡Lárgate!,¡Aléjate!
Get away!,¡Largo!,¡Aléjate!
Get away!,¡Vete ya!,¡Aléjate!
Get down!,Ponte a ello.,¡Al suelo!
Get down.,Abajo.,Agáchate.
Get down.,Túmbate.,Agáchate.
Get lost!,¡Piérdete!,¡Piérdete!
Get lost!,¡Vete de aquí!,¡Piérdete!
Get lost!,¡Lárgate!,¡Piérdete!
Get lost!,¡Largo!,¡Piérdete!
Get lost!,¡Vete ya!,¡Piérdete!
Get lost.,Esfúmate.,Piérdete.
Get real!,¡Despierta!,¡En serio!
Get real!,¡Piénsalo bien!,¡En serio!
Get real.,Abre los ojos.,Sé realista.
Go ahead!,Adelante.,¡Adelante!
Go ahead.,Adelante.,Adelante.
Go on in.,Entre.,Adelante.
Go on in.,Entra.,Adelante.
Go on in.,Entren.,Adelante.
Go on in.,Entrá.,Adelante.
Go on in.,Entrad.,Adelante.
Good job!,¡Buen trabajo!,¡Buen trabajo!
Grab Tom.,Sujeta a Tom.,Agarra a Tom.
Grab him.,Agárralo.,Agárrenlo.
Have fun.,Diviértanse.,Diviértanse.
Have fun.,Pásala bien.,Diviértanse.
Have fun.,Pásenla bien.,Diviértanse.
He spoke.,Él habló.,Habló.
He tries.,Él lo intenta.,Lo intenta.
He tries.,Él prueba.,Lo intenta.
Help Tom.,Ayuda a Tom.,Ayuda a Tom.
Help him.,Ayúdalo.,Ayúdelo.
"Hi, guys.","Hola, ¿qué hay?","Hola, chicos."
"Hi, guys.","Ey, chavales.","Hola, chicos."
"Hi, guys.","¿Qué pasa, troncos?","Hola, chicos."
"Hi, guys.",Buenas.,"Hola, chicos."
"Hi, guys.",¿Qué tal os va?,"Hola, chicos."
"Hi, guys.",Hola por aquí.,"Hola, chicos."
How cute!,¡Qué encanto!,¡Qué lindo!
How deep?,¿Qué tan profundo?,¿Qué tan profundo?
How deep?,¿Cómo de profundo?,¿Qué tan profundo?
Humor me.,Hazme el favor.,Compórtame.
Humor me.,Compláceme.,Compórtame.
Hurry up.,¡Date prisa!,Date prisa.
Hurry up.,Apresúrate.,Date prisa.
I agreed.,Convine.,Estuve de acuerdo.
I agreed.,Acepté.,Estuve de acuerdo.
I agreed.,Accedí.,Estuve de acuerdo.
I am fat.,Soy gorda.,Estoy gorda.
I am old.,Estoy viejo.,Soy viejo.
I ate it.,Me lo comí.,Me lo comí.
I ate it.,Me la comí.,Me lo comí.
I can go.,Puedo ir.,Puedo irme.
I did OK.,Lo hice bien.,Lo hice bien.
I did it.,Lo hice.,Lo hice.
I failed.,Fracasé.,Fallé.
I forgot.,Lo olvidé.,Lo olvidé.
I get by.,Me las arreglo.,Me las arreglo.
I get it.,Lo entiendo.,Lo entiendo.
I got it.,Lo tengo.,Lo tengo.
I phoned.,Llamé por teléfono.,Llamé por teléfono.
I refuse.,Me niego.,Me niego.
I resign.,Dimito.,Renuncio.
I resign.,Renuncio.,Renuncio.
I saw it.,Lo vi.,Lo vi.
I smiled.,Sonreí.,Sonreí.
I stayed.,Me quedé.,Me quedé.
I talked.,Hablé.,Hablé.
I talked.,Hablaba.,Hablé.
I talked.,Charlé.,Hablé.
I talked.,Charlaba.,Hablé.
I use it.,Yo lo uso.,Lo uso.
I waited.,Esperé.,Esperé.
I'll pay.,Yo pagaré.,Yo pagaré.
I'm back.,He vuelto.,He vuelto.
I'm back.,Estoy de vuelta.,He vuelto.
I'm bald.,Soy calvo.,Soy calvo.
I'm bald.,Estoy calvo.,Soy calvo.
I'm calm.,Estoy calmado.,Estoy calmado.
I'm cool.,Estoy tranquilo.,Estoy bien.
I'm done.,He terminado.,Terminé.
I'm easy.,Soy bastante facilón.,Soy fácil.
I'm fair.,Soy justo.,Soy justo.
I'm fine.,Estoy perfectamente.,Estoy bien.
I'm free!,¡Soy libre!,¡Soy libre!
I'm free.,Yo soy libre.,Soy libre.
I'm full.,Estoy lleno.,Estoy lleno.
I'm full.,Estoy llena.,Estoy lleno.
I'm full.,Ya me llené.,Estoy lleno.
I'm here.,Estoy aquí.,Estoy aquí.
I'm home.,Estoy en casa.,Estoy en casa.
I'm hurt.,Estoy herido.,Estoy herido.
I'm late.,Llego tarde.,Llego tarde.
I'm lazy.,Soy vago.,Soy perezoso.
I'm lost.,Estoy perdida.,Estoy perdido.
I'm mean.,Soy malo.,Soy mala.
I'm next.,Me toca a mí.,Yo soy el siguiente.
I'm okay.,Estoy perfectamente.,Estoy bien.
I'm poor.,Soy pobre.,Soy pobre.
I'm rich.,Soy rica.,Soy rico.
I'm rich.,Soy rico.,Soy rico.
I'm safe.,Estoy a salvo.,Estoy a salvo.
I'm sick.,Estoy enferma.,Estoy enfermo.
I'm thin.,Soy delgado.,Estoy delgado.
I'm tidy.,Estoy limpio.,Estoy ordenado.
I'm warm.,Estoy calentito.,Estoy caliente.
I'm weak.,Estoy débil.,Soy débil.
I'm wise.,Soy listo.,Soy sabio.
I've won.,Gané.,He ganado.
It helps.,Eso ayuda.,Ayuda.
It hurts.,Duele.,Duele.
It works.,Funciona.,Funciona.
It's Tom.,Es Tom.,Es Tom.
It's fun.,Es divertido.,Es divertido.
It's his.,Es suyo.,Es de él.
It's new.,Es nuevo.,Es nuevo.
It's odd.,Es extraño.,Es raro.
It's old.,Es viejo.,Es viejo.
It's red.,Es rojo.,Es rojo.
It's sad.,Es triste.,Es triste.
Keep out!,Prohibido pasar.,¡No te acerques!
Keep out.,No entrar.,No te acerques.
Kiss Tom.,Besá a Tomás.,Besa a Tom.
Kiss Tom.,Besa a Tomás.,Besa a Tom.
Kiss Tom.,Besen a Tomás.,Besa a Tom.
Leave it.,Déjalo.,Déjalo.
Leave me.,Déjame.,Déjame.
Leave us.,Déjanos.,Déjanos.
Let's go!,Vamos.,¡Vamos!
Let's go!,¡Órale!,¡Vamos!
Look out!,Cuidado.,¡Cuidado!
Marry me.,Cásate conmigo.,Cásate conmigo.
May I go?,¿Puedo ir?,¿Puedo irme?
Save Tom.,Salva a Tom.,Salva a Tom.
She came.,Ella vino.,Ella vino.
She died.,Ella murió.,Murió.
She runs.,Ella corre.,Ella corre.
Sit down!,¡Sentate!,¡Siéntate!
Sit down.,Siéntate.,Siéntate.
Sit here.,Siéntate aquí.,Siéntate aquí.
Speak up!,¡Hable más fuerte!,¡Habla!
Speak up!,Habla más fuerte.,¡Habla!
Speak up!,¡Habla más alto!,¡Habla!
Stand by.,Prepárate.,Espera.
Stand by.,Un momento.,Espera.
Stand up!,¡Parate!,¡Levántate!
Stand up!,¡De pie!,¡Levántate!
Stay put.,No te muevas.,Quédate ahí.
Stop Tom.,Detén a Tom.,Detén a Tom.
Take Tom.,Llévate a Tom.,Llévate a Tom.
Tell Tom.,Díselo a Tom.,Díselo a Tom.
Terrific!,¡Genial!,¡Estupendo!
Terrific!,¡Órale!,¡Estupendo!
They won.,Ellos ganaron.,Ganaron.
Tom came.,Tom vino.,Tom vino.
Tom died.,Tom ha muerto.,Tom murió.
Tom fell.,Tom se cayó.,Tom se cayó.
Tom knew.,Tom lo sabía.,Tom lo sabía.
Tom knew.,Tom tenía constancia de ello.,Tom lo sabía.
Tom left.,Tom se fue.,Tom se fue.
Tom lied.,Tom mintió.,Tom mintió.
Tom lies.,Tomás miente.,Tom miente.
Tom lost.,Tom perdió.,Tom perdió.
Tom paid.,Tom pagó.,Tom pagó.
Tom quit.,Tom renunció.,Tom renunció.
Tom swam.,Tom nadó.,Tom nadó.
Tom wept.,Tom lloró.,Tom lloró.
Tom's up.,Tom se ha levantado.,Tom se ha levantado.
Too late.,Demasiado tarde.,Demasiado tarde.
Trust me.,Confía en mí.,Confía en mí.
Try hard.,Inténtalo de veras.,Inténtalo duro.
Try some.,Prueba un poco.,Prueba un poco.
Try some.,Pruebe un poco.,Prueba un poco.
Try some.,Prueben un poco.,Prueba un poco.
Try this.,Prueben esto.,Prueba esto.
Try this.,Probá esto.,Prueba esto.
Try this.,Prueba esto.,Prueba esto.
Use this.,Usa esto.,Usa esto.
Warn Tom.,Avísale a Tom.,Avise a Tom.
Warn Tom.,Avísele a Tom.,Avise a Tom.
Warn Tom.,Avísenle a Tom.,Avise a Tom.
Warn Tom.,Avisale a Tom.,Avise a Tom.
Watch me.,Mírame.,Mírame.
Watch me.,Vigílame.,Mírame.
Watch me.,Obsérvame.,Mírame.
Watch us.,Obsérvalos.,Míranos.
Watch us.,Obsérvanos.,Míranos.
We agree.,Estamos de acuerdo.,Estamos de acuerdo.
We tried.,Lo intentamos.,Lo intentamos.
We'll go.,Iremos.,Iremos.
We're OK.,Estamos bien.,Estamos bien.
What for?,¿Para qué?,¿Para qué?
What fun!,¡Qué divertido!,¡Qué divertido!
Who am I?,¿Quién soy yo?,¿Quién soy?
Who came?,¿Quién vino?,¿Quién vino?
Who died?,¿Quién murió?,¿Quién murió?
Who fell?,¿Quién se calló?,¿Quién se cayó?
Who fell?,¿Quién se cayó?,¿Quién se cayó?
Who quit?,¿Quién se ha ido?,¿Quién renunció?
Who quit?,¿Quién lo ha dejado?,¿Quién renunció?
Who swam?,¿Quién nadó?,¿Quién nadó?
Who's he?,¿Quién es él?,¿Quién es él?
Write me.,Escríbeme.,Escríbeme.
After you.,Después de ti.,Después de ti.
After you.,Tú primero.,Después de ti.
After you.,Usted primero.,Después de ti.
After you.,Después de usted.,Después de ti.
After you.,Después de vosotras.,Después de ti.
Aim. Fire!,Apunta. ¡Fuego!,Apunta. ¡Fuego!
Answer me.,Respóndeme.,Contéstame.
Answer me.,Respondedme.,Contéstame.
Answer me.,Respóndanme.,Contéstame.
Birds fly.,Los pájaros vuelan.,Los pájaros vuelan.
Bless you.,Jesús.,Dios te bendiga.
Call home!,¡Llama a casa!,¡Llama a casa!
Calm down.,Cálmate.,Cálmate.
Calm down.,Tranquilízate.,Cálmate.
Calm down.,Tomátelo con soda.,Cálmate.
Calm down.,Bajá un cambio.,Cálmate.
Can we go?,¿Podemos ir?,¿Podemos irnos?
Can we go?,¿Podemos irnos?,¿Podemos irnos?
Can we go?,¿Podemos marcharnos?,¿Podemos irnos?
Catch Tom.,¡Atrápelo a Tomás!,Atrapa a Tom.
Catch him.,Captúralo.,Atrápenlo.
Catch him.,Captúrenlo.,Atrápenlo.
Catch him.,Atrápenlo.,Atrápenlo.
Catch him.,Atrápalo.,Atrápenlo.
Come back.,Vuelve.,Vuelve.
Come here.,Vení.,Ven aquí.
Come here.,Ven.,Ven aquí.
Come here.,Venid aquí.,Ven aquí.
Come home.,Ven a casa.,Ven a casa.
Come over.,Venid aquí.,Ven.
Come over.,Vente.,Ven.
Come over.,Veníos.,Ven.
Come over.,Venga aquí.,Ven.
Come soon.,Vuelve pronto.,Ven pronto.
Do it now.,Hazlo ahora.,Hazlo ahora.
Dogs bark.,Los perros ladran.,Los perros ladran.
Don't ask.,No preguntes.,No preguntes.
Don't cry.,No llores.,No llores.
Don't cry.,¡No llorés!,No llores.
Don't cry.,¡No llores!,No llores.
Don't cry.,No lloren.,No llores.
Don't lie.,No mintáis.,No mientas.
Don't run.,No corras.,No corras.
Fantastic!,¡Fantástico!,¡Fantástico!
Fantastic!,¡Es estupendo!,¡Fantástico!
Fantastic!,¡Órale!,¡Fantástico!
Feel this.,Tienta esto.,Siente esto.
Feel this.,Tiente esto.,Siente esto.
Feel this.,Tienten esto.,Siente esto.
Feel this.,Tentad esto.,Siente esto.
Feel this.,Tentá esto.,Siente esto.
Follow me.,Sígueme.,Sígueme.
Follow me.,Seguidme.,Sígueme.
Follow us.,Síguenos.,Síguenos.
Forget it.,Déjalo.,Olvídalo.
Forget me.,Olvídame.,Olvídese de mí.
Forget me.,Olvídate de mí.,Olvídese de mí.
Forget me.,Olvídenme.,Olvídese de mí.
Forget me.,Olvídense de mí.,Olvídese de mí.
Get ready.,Preparaos.,Prepárate.
Go for it.,Ve a por ello.,Adelante.
Go for it.,Ve a cogerlo.,Adelante.
Go get it.,Ve a por ello.,Ve a buscarla.
Go get it.,Vete a por ello.,Ve a buscarla.
Go get it.,Id a por ello.,Ve a buscarla.
Go inside.,Entra.,Ve adentro.
Go to bed.,Vete a la cama.,Vete a la cama.
Grab that.,Cógelo.,Agarra eso.
Grab this.,Agarra esto.,Agarra esto.
Have some.,Coge alguno.,Toma un poco.
Have some.,Toma algo.,Toma un poco.
Have some.,Tome alguno.,Toma un poco.
He is old.,Él es viejo.,Es viejo.
He is old.,Él es anciano.,Es viejo.
He shaved.,Él se afeitó.,Se afeitó.
He smiled.,Sonrió.,Sonrió.
He's a DJ.,Él es DJ.,Es un DJ.
He's fast.,Él es veloz.,Es rápido.
He's good.,Él es bueno.,Es bueno.
He's rich.,Él es rico.,Es rico.
He's rich.,Es rico.,Es rico.
Here I am.,Acá estoy.,Aquí estoy.
Hold this.,Sostén esto.,Sostén esto.
How awful!,¡Qué horror!,¡Qué horror!
How weird!,¡Qué raro!,¡Qué raro!
How's Tom?,¿Cómo está Tom?,¿Cómo está Tom?
Humor Tom.,Divierte a Tom.,Humor Tom.
I am busy.,Estoy ocupada.,Estoy ocupado.
I am full.,Estoy lleno.,Estoy lleno.
I am full.,Estoy llena.,Estoy lleno.
I am good.,Soy bueno.,Estoy bien.
I am here.,Estoy aquí.,Estoy aquí.
I am sick.,Estoy enferma.,Estoy enfermo.
I am weak.,Estoy débil.,Soy débil.
I beg you.,Te lo ruego.,Te lo ruego.
I beg you.,Te lo suplico.,Te lo ruego.
I can fly.,Puedo volar.,Puedo volar.
I can run.,Puedo correr.,Puedo correr.
I can run.,Sé correr.,Puedo correr.
I can ski.,Sé esquiar.,Puedo esquiar.
I cringed.,Sentí vergüenza.,Me enfadé.
I fainted.,Perdí la consciencia.,Me desmayé.
I fainted.,Quedé inconsciente.,Me desmayé.
I gave up.,Lo dejé.,Me rendí.
I gave up.,Me rendí.,Me rendí.
I gave up.,Tiré la toalla.,Me rendí.
I gave up.,Cedí.,Me rendí.
I get you.,Te entiendo.,Te entiendo.
I get you.,Te pillo.,Te entiendo.
I get you.,Ya te pillo.,Te entiendo.
I got hit.,Me dieron.,Me golpearon.
I got hit.,Me alcanzaron.,Me golpearon.
I hate it.,Lo odio.,Lo odio.
I hate it.,Me la seca.,Lo odio.
I hate it.,Me la baja.,Lo odio.
I hit Tom.,Golpeo a Tom.,Le pegué a Tom.
I hope so.,Eso espero.,Eso espero.
I knew it.,Lo sabía.,Lo sabía.
I laughed.,Me reí.,Me reí.
I like it.,Me gusta.,Me gusta.
I love it!,¡Lo adoro!,¡Me encanta!
I love it.,Me encanta.,Me encanta.
I mean it!,Hablo en serio.,¡Lo digo en serio!
I mean it.,Lo digo en serio.,Lo digo en serio.
I mean it.,Hablo en serio.,Lo digo en serio.
I miss it.,Lo echo en falta.,Lo echo de menos.
I miss it.,Lo echo de menos.,Lo echo de menos.
I miss it.,Lo añoro.,Lo echo de menos.
I need it.,Lo necesito.,Lo necesito.
I saw Tom.,Vi a Tom.,Vi a Tom.
I saw him.,Le vi.,Lo vi.
I saw him.,Lo vi.,Lo vi.
I saw one.,Vi uno.,Vi uno.
I saw one.,Vi a uno.,Vi uno.
I saw one.,Veía a uno.,Vi uno.
I saw you.,Te vi.,Te vi.
I saw you.,Te he visto.,Te vi.
I see Tom.,Veo a Tom.,Veo a Tom.
I tripped.,Me tropecé.,Me tropecé.
I'll cook.,Yo cocinaré.,Yo cocinaré.
I'll cook.,Yo guisaré.,Yo cocinaré.
I'll live.,Viviré.,Viviré.
I'll sing.,Cantaré.,Cantaré.
I'll stop.,Pararé.,Me detendré.
I'll stop.,Lo dejaré.,Me detendré.
I'll wait.,Esperaré.,Esperaré.
I'll wait.,Aguardaré.,Esperaré.
I'll walk.,Caminaré.,Caminaré.
I'll walk.,Andaré.,Caminaré.
I'll work.,Voy a trabajar.,Trabajaré.
I'm a man.,Soy un hombre.,Soy un hombre.
I'm a pro.,Soy un pro.,Soy un profesional.
I'm alone.,Estoy solo.,Estoy solo.
I'm alone.,Estoy sola.,Estoy solo.
I'm alone.,Yo estoy solo.,Estoy solo.
I'm alone.,Yo estoy sola.,Estoy solo.
I'm angry.,Estoy enojado.,Estoy enojado.
I'm angry.,Estoy enojada.,Estoy enojado.
I'm awake.,Estoy despierto.,Estoy despierto.
I'm blind.,Soy ciega.,Estoy ciego.
I'm broke.,Estoy sin dinero.,Estoy quebrado.
I'm broke.,Estoy quebrado.,Estoy quebrado.
I'm broke.,Estoy sin blanca.,Estoy quebrado.
I'm broke.,No tengo blanca.,Estoy quebrado.
I'm crazy.,Estoy loco.,Estoy loco.
I'm drunk.,Estoy borracho.,Estoy borracho.
I'm drunk.,Estoy tomada.,Estoy borracho.
I'm drunk.,Estoy prendida.,Estoy borracho.
I'm dying.,Me estoy muriendo.,Me estoy muriendo.
I'm first.,Soy el primero.,Yo soy el primero.
I'm first.,Voy el primero.,Yo soy el primero.
I'm first.,Me toca primero.,Yo soy el primero.
I'm first.,Yo voy primero.,Yo soy el primero.
I'm happy.,Soy feliz.,Estoy feliz.
I'm happy.,Estoy feliz.,Estoy feliz.
I'm loved.,Soy amado.,Soy amada.
I'm loved.,Soy amada.,Soy amada.
I'm obese.,Soy obeso.,Soy obesa.
I'm ready.,Estoy listo.,Estoy listo.
I'm sorry.,Lo siento.,Lo siento.
I'm tired.,Yo estoy cansado.,Estoy cansado.
I'm tired.,Yo estoy cansada.,Estoy cansado.
I'm yours.,Soy tuyo.,Soy tuya.
I'm yours.,Soy tuya.,Soy tuya.
I'm yours.,Soy suyo.,Soy tuya.
I've lost.,He perdido.,He perdido.
Ignore it.,Ólvidalo.,Ignóralo.
Ignore it.,No hagas caso.,Ignóralo.
Is Tom OK?,¿Está bien Tom?,¿Tom está bien?
Is Tom in?,¿Está Tom?,¿Está Tom?
Is it bad?,¿Es grave?,¿Es malo?
Is it bad?,¿Es malo?,¿Es malo?
Is it far?,¿Está lejos?,¿Está lejos?
Is it you?,¿Eres tú?,¿Eres tú?
It burned.,Se quemó.,Se quemó.
It failed.,No lo consiguió.,Falló.
It failed.,Falló.,Falló.
It failed.,Fracasó.,Falló.
It is new.,Es nuevo.,Es nuevo.
It rained.,Llovió.,Llovió.
It snowed.,Nevó.,Nevaba.
It stinks.,Apesta.,Apesta.
It worked.,Funcionó.,Funcionó.
It's 3:10.,Son las tres y diez.,Son las 3:10.
